slug,url,title,status,priority,section,summary
home-public-main,https://www.jessiekb.com/,Jessica Kendall-Bar | Art + Science,captured,keep but redesign as integrated homepage,home,"Main homepage combining research, sleep at sea, visualizations, publications, videos, maps, and infographics."
about,https://www.jessiekb.com/about,About,captured,update title/appointment and add lab CTA,bio,"Short bio, scholar link, CV, social/contact links."
sleep-at-sea,https://www.jessiekb.com/sleep-at-sea,Sleep at Sea,captured,feature research case study,research,"Science 2023 sleep-at-sea page with explainer graphics, press links, and key findings."
visualizing-life-in-the-deep,https://www.jessiekb.com/visualizing-life-in-the-deep,Visualizing Life in the Deep,captured,fold into portfolio/research methods,research + portfolio,"Small project page linking paper, news article, and GitHub code."
lightscapes-of-fear,https://www.jessiekb.com/lightscapes-of-fear,Lightscapes of Fear,captured,portfolio case study,research + data visualization,Interactive map/explainer for female northern elephant seal behavioral rest and risk/reward tradeoffs.
undergraduate-research,https://www.jessiekb.com/undergraduate-research,Undergraduate Research,captured,archive page; maybe lower nav priority,research archive,"UC Berkeley undergraduate research, early publications, cruises, internships."
teaching,https://www.jessiekb.com/teaching,Teaching,captured,keep; update for CSUMB courses,teaching,Courses taught and science communication video embeds.
artforscicomm,https://www.jessiekb.com/artforscicomm,Art for SciComm,captured,keep as resource hub; update email/links,teaching + portfolio,Online portal for data-driven animation resources and workshops.
data-visualization-collective,https://www.jessiekb.com/data-visualization-collective,Data Visualization Collective,captured,archive as teaching project; keep selected highlights,teaching + gallery,UCSC collective with student projects and workshop recordings.
lectures,https://www.jessiekb.com/lectures,Lectures,captured,keep as media archive,teaching + media,"Guest lectures, conference presentations, invited talks."
videos,https://www.jessiekb.com/videos,Videos,captured,keep as portfolio/video archive,portfolio,"Animations, science communication videos, underwater videos."
art,https://www.jessiekb.com/art,Art,captured,rebuild as personal portfolio gallery,portfolio,"Art portfolio landing page: children’s books, science communication, woodburning, infographics, animations, photography, comics, media."
fine-art,https://www.jessiekb.com/fine-art,Fine Art / Portfolio,captured,merge with /art,portfolio,"Portfolio overview for art mediums, projects, commissions, store links."
photography,https://www.jessiekb.com/photography,Photography,captured,"rebuild as protected gallery, no storefront",portfolio gallery,Photography landing page with shop links and subject categories.
photo-store,https://www.jessiekb.com/photo-store,Photo Store,partial: search snippet only; page fetch failed,"remove storefront, redirect to gallery/licensing",legacy store,Old photo store; user requested not to maintain store components.
art-store,https://www.jessiekb.com/art-store,Art Store,captured,decommission store; move items to gallery/archive,legacy store,Store categories and prices; to be replaced by gallery/inquiry flow.
looking-for-marla,https://www.jessiekb.com/looking-for-marla,Looking for Marla,captured,keep as book/project page,books,"Children’s book project, order links, donation, creators, motivation/testimonials/sneak peek."
in-the-press,https://www.jessiekb.com/in-the-press,In the Press,captured,keep; make filterable timeline,press,"Large press timeline from 2016–2024 covering EcoViz, sleep at sea, awards, videos, book, science communication."
carbon-sequestration-animation,https://www.jessiekb.com/carbon-sequestration-animation,Animating the Ocean Biological Carbon Pump,captured,portfolio case study,portfolio + teaching,Carbon pump animation project with Nicolas Kendall-Bar and Exploratorium talk context.
science-comics,https://www.jessiekb.com/science-comics,Science Comics,partial via search snippet,keep as archive/gallery,portfolio,"Comic series about genomic conflict, marine mammals, mating tactics, voting, cooperation, mentorship, social structure, experimental design."
castor-oil-rig-tales,https://www.jessiekb.com/castor-oil-rig-tales,Castor Oil Rig Tales,partial via search snippet,keep as book illustration project,books + portfolio,Children’s book illustration commission about marine organisms colonizing an abandoned oil rig.
contact,https://www.jessiekb.com/contact,Contact,partial via search snippet,keep; modernize form,contact,"Contact page for illustration commissions, print inquiries, surf/underwater shoots, research inquiries."
